Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
935740,872MMFSL26  ,1010.00,1050.00,1010.00,1050.00,109.00,2,110450.00,INE774D08LU6,1000.00,8.72                     ,
961821,873IIFCL29D ,1270.00,1270.00,1270.00,1270.00,6.00,1,7620.00,INE787H07362,1000.00,8.73                     ,
961786,874HUDCO33  ,1299.00,1299.00,1280.00,1296.08,336.00,26,434268.00,INE031A07956,1000.00,8.74                     ,
936008,875MFL20B   ,1002.01,1006.00,1002.01,1006.00,150.00,2,150540.00,INE414G07CC1,1000.00,8.75                     ,
936004,875MFL22    ,950.00,950.00,950.00,950.00,160.00,4,152000.00,INE414G07CA5,1000.00,8.75                     ,
961785,876HUDCO28  ,1200.00,1200.10,1200.00,1200.05,51.00,3,61202.00,INE031A07949,1000.00,8.76                     ,
961803,879PFC28    ,1285.00,1285.00,1255.01,1255.01,782.00,5,996450.00,INE134E07448,1000.00,8.79                     ,
961895,880IIFCL29  ,1242.00,1250.00,1242.00,1246.00,297.00,5,369674.00,INE787H07420,1000.00,8.8                      ,
936286,880TCFSL21  ,1018.00,1022.89,1018.00,1019.44,345.00,18,351971.00,INE306N07KD6,1000.00,8.80                     ,
936278,884ICCL28   ,749.00,749.00,749.00,749.00,5.00,2,3745.00,INE244L07168,1000.00,8.84                     ,
936130,888ERFL28   ,760.00,760.00,760.00,760.00,24.00,1,18240.00,INE528S07110,1000.00,8.88                     ,
961875,888REC29    ,1300.00,1300.00,1300.00,1300.00,750.00,2,975000.00,INE020B07IG5,1000.00,8.88                     ,
936268,890ICCL21   ,770.00,770.00,770.00,770.00,34.00,2,26180.00,INE244L07101,1000.00,8.90                     ,
961740,890SREI17B  ,1511.00,1511.00,1511.00,1511.00,40.00,3,60440.00,INE872A07PY9,1000.00,8.90                     ,
936290,890TCFSL23  ,1040.00,1040.00,1034.21,1035.63,1049.00,24,1086559.00,INE306N07KF1,1000.00,8.90                     ,
961822,891IIFCL34  ,1350.00,1350.00,1350.00,1350.00,1.00,1,1350.00,INE787H07370,1000.00,8.91                     ,
961810,891NTPC33   ,1370.00,1370.00,1370.00,1370.00,1.00,1,1370.00,INE733E07JJ9,1000.00,8.91                     ,
961792,892NHPC33   ,1311.41,1311.41,1311.41,1311.41,250.00,1,327852.00,INE848E07567,1000.00,8.92                     ,
961804,892PFC33    ,1373.00,1376.00,1372.00,1373.20,746.00,12,1025384.00,INE134E07463,1000.00,8.92                     ,
972883,893PTCIF22  ,5011.00,5011.00,5011.00,5011.00,4.00,1,20044.00,INE560K07086,5000.00,8.93                     ,
936228,893STFCL23  ,936.00,940.00,936.00,940.00,24.00,2,22468.00,INE721A07NT3,1000.00,8.93                     ,
961863,898HUDCO29  ,1290.00,1290.00,1290.00,1290.00,108.00,1,139320.00,INE031A07AG1,1000.00,8.98                     ,
936532,898LTFL29   ,1059.99,1060.00,1048.00,1051.00,375.00,4,396614.00,INE027E07998,1000.00,8.98                     ,
935852,89IBHFL21B  ,701.10,701.10,701.10,701.10,15.00,2,10516.00,INE148I07GF5,1000.00,8.9                      ,
935904,89RHFL20B   ,440.00,440.00,440.00,440.00,10.00,1,4400.00,INE217K07AC4,1000.00,8.90                     ,
961851,900KPL29    ,1230.00,1230.00,1230.00,1230.00,16.00,1,19680.00,INE363O07095,1000.00,9                        ,
961853,900KPL34    ,1293.00,1293.00,1290.00,1290.00,1000.00,2,1290045.00,INE363O07103,1000.00,9                        ,
936010,900MFL22A   ,977.98,987.98,970.00,977.00,52.00,5,50473.00,INE414G07CD9,1000.00,9.00                     ,
961816,901HUDCO34  ,1378.00,1378.00,1378.00,1378.00,1.00,1,1378.00,INE031A07AB2,1000.00,9.01                     ,
936574,905LTFL27   ,1079.00,1079.00,1067.00,1070.43,81.00,5,87123.00,INE027E07AL1,1000.00,9.05                     ,
